년,월,국적지역,입국자수
2018,1,중국,322446
2018,2,중국,367017
2018,3,중국,427618
2018,4,중국,385386
2018,5,중국,389044
2018,6,중국,397948
2018,7,중국,430085
2018,8,중국,504417
2018,9,중국,457387
2018,10,중국,497048
2018,11,중국,421574
2018,12,중국,432935
2019,1,중국,411940
2019,2,중국,481499
2019,3,중국,510326
2019,4,중국,512651
2019,5,중국,520178
2019,6,중국,494180
2019,7,중국,540483
2019,8,중국,606739
2019,9,중국,566336
2019,10,중국,589057
2019,11,중국,524127
2019,12,중국,526970
2023,1,중국,30141
2023,2,중국,53337
2023,3,중국,83868
2023,4,중국,118139
2023,5,중국,143796
2023,6,중국,184234
2023,7,중국,244056
2023,8,중국,292811
2023,9,중국,283265
2023,10,중국,274703
2023,11,중국,236156
2023,12,중국,268460
2024,1,중국,298029
2024,2,중국,377260
2024,3,중국,413005
2024,4,중국,430303
2024,5,중국,415260
2024,6,중국,417915
2024,7,중국,482341
2024,8,중국,542051
2024,9,중국,451496
2024,10,중국,413920
2024,11,중국,316817
2024,12,중국,324872
2025,1,중국,315197
2025,2,중국,300340
2025,3,중국,374111
2025,4,중국,411647
2025,5,중국,422231
2025,6,중국,414553
2025,7,중국,415017
2025,8,중국,470717
2025,9,중국,524321
2025,10,중국,445045
2025,11,중국,411989
2025,12,중국,315129
2026,1,중국,315197
2026,2,중국,300340
2026,3,중국,374111
2026,4,중국,411647
2026,5,중국,422231
2026,6,중국,414553
2026,7,중국,415017
2026,8,중국,470717
2026,9,중국,524321
2026,10,중국,445045
2026,11,중국,411989
2026,12,중국,315129
