국적지역,연평균입국자수,봄철 증가율,여름철 증가율,가을철 증가율,겨울철 증가율
대만,106676.13888888889,-7.588440713988685,9.74970712236231,3.0285852219894047,-6.9561531124449685
러시아,18248.180555555555,27.93421566381429,23.942493505821364,22.624097227349164,2.9778463454119075
말레이시아,25317.041666666668,24.128181116474565,-30.742961345207203,38.761275754638255,34.044755755757386
미국,112470.29166666667,-4.249233223440116,-0.8358133092183275,-4.954604678939298,-25.69919389824054
베트남,45927.083333333336,12.402630982082098,10.276797459741427,8.70982082104785,-23.642549330914044
싱가포르,28153.875,-1.132614959752432,-33.32682150029674,3.740308098500359,15.403001067052646
영국,12275.375,16.291762980764336,0.21893424844454853,10.747465284495716,-20.088659884796463
오스트레일리아,17583.75,-1.8985332101134975,-19.650719177270684,4.460557806687039,-1.6814767422572996
인도네시아,24172.555555555555,5.483951037218525,-11.132344761966053,4.969938359847954,-0.08124457028861096
일본,241561.375,5.6885301578808525,10.372398457051883,16.738861914492745,-4.994503639775464
중국,389641.94444444444,-6.974979165344821,9.871384768494725,7.6177345155203,-12.003249422012088
캐나다,21405.01388888889,-3.243074539259701,-16.688911800908542,-5.936368750571822,-28.982371082579956
태국,34634.07246376811,42.79820366222257,-18.46131668111028,20.939233646289743,24.352816116267636
필리핀,37925.47222222222,18.44128506420121,-8.404128857986827,17.246397723019648,1.9134750391301092
홍콩,44235.291666666664,11.692116117692615,24.081544995652994,8.576202824479328,3.0854888677686656
